캠페인,브랜드,모델,연식,부품계통,리콜월,12개월판정,최근경보월,선행개월,잠재대상대수
20V213000,HYUNDAI,NEXO,2020,ELECTRICAL_BATTERY,2020-04,미탐지,,,11870
20V213000,HYUNDAI,SONATA,2020,ELECTRICAL_BATTERY,2020-04,미탐지,,,11870
20V750000,KIA,FORTE KOUP,2015,ENGINE_FUEL,2020-12,미탐지,,,294756
20V750000,KIA,SOUL,2015,ENGINE_FUEL,2020-12,탐지,2020-10,2.0,294756
20V750000,KIA,FORTE,2015,ENGINE_FUEL,2020-12,탐지,2020-08,4.0,294756
20V022000,HYUNDAI,KONA,2020,OTHER,2020-01,미탐지,,,477
20V122000,HYUNDAI,SONATA,2020,OTHER,2020-02,미탐지,,,5044
20V248000,HYUNDAI,GENESIS COUPE,2016,AIRBAG_SEATBELT,2020-05,미탐지,,,1295
20V436000,KIA,TELLURIDE,2020,OTHER,2020-07,미탐지,,,86921
20V436000,KIA,TELLURIDE,2020,BRAKES_STEERING,2020-07,미탐지,,,86921
20V436000,KIA,TELLURIDE,2020,ELECTRICAL_BATTERY,2020-07,미탐지,,,86921
20V518000,KIA,STINGER,2018,BRAKES_STEERING,2020-08,미탐지,,,28200
20V518000,KIA,STINGER,2019,BRAKES_STEERING,2020-08,미탐지,,,28200
20V518000,KIA,STINGER,2020,BRAKES_STEERING,2020-08,미탐지,,,28200
20V518000,KIA,STINGER,2021,BRAKES_STEERING,2020-08,미탐지,,,28200
20V389000,KIA,SOUL EV,2015,ELECTRICAL_BATTERY,2020-07,미탐지,,,3714
20V389000,KIA,SOUL EV,2015,ENGINE_FUEL,2020-07,미탐지,,,3714
20V389000,KIA,SOUL EV,2016,ELECTRICAL_BATTERY,2020-07,미탐지,,,3714
20V389000,KIA,SOUL EV,2016,ENGINE_FUEL,2020-07,미탐지,,,3714
20V422000,KIA,STINGER,2020,BRAKES_STEERING,2020-07,미탐지,,,104
20V459000,KIA,FORTE,2019,ENGINE_FUEL,2020-08,미탐지,,,834
20V520000,HYUNDAI,SANTA FE SPORT,2015,BRAKES_STEERING,2020-08,미탐지,,,151205
20V560000,KIA,STINGER,2020,ENGINE_FUEL,2020-09,미탐지,,,635
20V560000,KIA,STINGER,2021,ENGINE_FUEL,2020-09,미탐지,,,635
20V447000,HYUNDAI,GENESIS G70,2020,BRAKES_STEERING,2020-07,미탐지,,,2
20V519000,KIA,SORENTO,2015,BRAKES_STEERING,2020-08,미탐지,,,440370
20V519000,KIA,OPTIMA,2015,BRAKES_STEERING,2020-08,탐지,2020-03,5.0,440370
20V543000,HYUNDAI,TUCSON,2018,BRAKES_STEERING,2020-09,미탐지,,,652024
20V543000,HYUNDAI,TUCSON,2019,BRAKES_STEERING,2020-09,미탐지,,,652024
20V543000,HYUNDAI,TUCSON,2020,BRAKES_STEERING,2020-09,미탐지,,,652024
20V543000,HYUNDAI,TUCSON,2021,BRAKES_STEERING,2020-09,미탐지,,,652024
20V543000,HYUNDAI,TUCSON,2016,BRAKES_STEERING,2020-09,미탐지,,,652024
20V543000,HYUNDAI,TUCSON,2017,BRAKES_STEERING,2020-09,미탐지,,,652024
20V399000,KIA,SEDONA,2020,ELECTRICAL_BATTERY,2020-07,미탐지,,,5385
20V748000,HYUNDAI,KONA ELECTRIC,2021,BRAKES_STEERING,2020-12,미탐지,,,8176
20V746000,HYUNDAI,SONATA HYBRID,2016,ENGINE_FUEL,2020-12,미탐지,,,128948
20V746000,HYUNDAI,VELOSTER,2015,ENGINE_FUEL,2020-12,미탐지,,,128948
20V746000,HYUNDAI,VELOSTER,2016,ENGINE_FUEL,2020-12,미탐지,,,128948
20V748000,HYUNDAI,KONA ELECTRIC,2019,BRAKES_STEERING,2020-12,미탐지,,,8176
20V748000,HYUNDAI,KONA ELECTRIC,2020,BRAKES_STEERING,2020-12,미탐지,,,8176
