part_lot_id,supplier_id,production_date,process_z,recheck_rate,field_signals_180d,field_rate,actual_defect,baseline_alert,enterprise_candidate
LOT-001,SUP-02,2025-01-02,-0.138,0.0244,0,0.00000,0,0,0
LOT-002,SUP-03,2025-01-03,-0.274,0.0122,1,0.01250,0,0,0
LOT-003,SUP-04,2025-01-04,0.504,0.0102,0,0.00000,0,0,0
LOT-004,SUP-01,2025-01-05,0.693,0.0103,0,0.00000,0,0,0
LOT-005,SUP-02,2025-01-06,0.902,0.0230,0,0.00000,0,0,0
LOT-006,SUP-03,2025-01-07,0.283,0.0131,1,0.01250,0,0,0
LOT-007,SUP-04,2025-01-08,0.040,0.0218,0,0.00000,0,0,0
LOT-008,SUP-01,2025-01-09,1.036,0.0188,0,0.00000,0,0,0
LOT-009,SUP-02,2025-01-10,-0.352,0.0084,5,0.06250,0,1,0
LOT-010,SUP-03,2025-01-11,0.405,0.0094,0,0.00000,0,0,0
LOT-011,SUP-04,2025-01-12,-0.632,0.0249,0,0.00000,0,0,0
LOT-012,SUP-01,2025-01-13,0.288,0.0198,1,0.01250,0,0,0
LOT-013,SUP-02,2025-01-14,-0.264,0.0268,0,0.00000,0,0,0
LOT-014,SUP-03,2025-01-15,2.611,0.0915,4,0.05000,1,1,1
LOT-015,SUP-04,2025-01-16,-0.256,0.0070,1,0.01250,0,0,0
LOT-016,SUP-01,2025-01-17,-0.585,0.0209,2,0.02500,0,0,0
LOT-017,SUP-02,2025-01-18,0.970,0.0077,1,0.01250,0,0,0
LOT-018,SUP-03,2025-01-19,0.545,0.0185,0,0.00000,0,0,0
LOT-019,SUP-04,2025-01-20,0.745,0.0123,0,0.00000,0,0,0
LOT-020,SUP-01,2025-01-21,-0.505,0.0168,0,0.00000,0,0,0
LOT-021,SUP-02,2025-01-22,1.197,0.0297,0,0.00000,0,0,0
LOT-022,SUP-03,2025-01-23,0.983,0.0300,0,0.00000,0,0,0
LOT-023,SUP-04,2025-01-24,-0.134,0.0098,1,0.01250,0,0,0
LOT-024,SUP-01,2025-01-25,-0.431,0.0064,0,0.00000,0,0,0
LOT-025,SUP-02,2025-01-26,-0.436,0.0247,1,0.01250,0,0,0
LOT-026,SUP-03,2025-01-27,0.447,0.0100,1,0.01250,0,0,0
LOT-027,SUP-04,2025-01-28,-0.438,0.0146,0,0.00000,0,0,0
LOT-028,SUP-01,2025-01-29,0.648,0.0177,0,0.00000,0,0,0
LOT-029,SUP-02,2025-01-30,2.558,0.1494,6,0.07500,1,1,1
LOT-030,SUP-03,2025-01-31,-0.732,0.0117,0,0.00000,0,0,0
LOT-031,SUP-04,2025-02-01,0.815,0.0103,1,0.01250,0,0,0
LOT-032,SUP-01,2025-02-02,-0.349,0.0175,1,0.01250,0,0,0
LOT-033,SUP-02,2025-02-03,-0.212,0.0227,1,0.01250,0,0,0
LOT-034,SUP-03,2025-02-04,0.013,0.0248,1,0.01250,0,0,0
LOT-035,SUP-04,2025-02-05,-0.349,0.0078,1,0.01250,0,0,0
LOT-036,SUP-01,2025-02-06,0.509,0.0071,1,0.01250,0,0,0
LOT-037,SUP-02,2025-02-07,-0.537,0.0292,0,0.00000,0,0,0
LOT-038,SUP-03,2025-02-08,0.069,0.0206,0,0.00000,0,0,0
LOT-039,SUP-04,2025-02-09,-0.537,0.0267,1,0.01250,0,0,0
LOT-040,SUP-01,2025-02-10,0.680,0.0080,0,0.00000,0,0,0
LOT-041,SUP-02,2025-02-11,0.780,0.0279,2,0.02500,0,0,0
LOT-042,SUP-03,2025-02-12,-0.780,0.0191,0,0.00000,0,0,0
LOT-043,SUP-04,2025-02-13,2.838,0.1177,6,0.07500,1,1,1
LOT-044,SUP-01,2025-02-14,1.116,0.0113,2,0.02500,0,0,0
LOT-045,SUP-02,2025-02-15,1.030,0.0269,0,0.00000,0,0,0
LOT-046,SUP-03,2025-02-16,0.521,0.0204,0,0.00000,0,0,0
LOT-047,SUP-04,2025-02-17,1.093,0.0192,1,0.01250,0,0,0
LOT-048,SUP-01,2025-02-18,-0.338,0.0071,0,0.00000,0,0,0
LOT-049,SUP-02,2025-02-19,-0.732,0.0139,1,0.01250,0,0,0
LOT-050,SUP-03,2025-02-20,-0.691,0.0057,0,0.00000,0,0,0
LOT-051,SUP-04,2025-02-21,0.628,0.0287,0,0.00000,0,0,0
LOT-052,SUP-01,2025-02-22,0.593,0.0088,0,0.00000,0,0,0
LOT-053,SUP-02,2025-02-23,-0.326,0.0168,3,0.03750,0,1,0
LOT-054,SUP-03,2025-02-24,-0.386,0.0241,0,0.00000,0,0,0
LOT-055,SUP-04,2025-02-25,-0.731,0.0268,0,0.00000,0,0,0
LOT-056,SUP-01,2025-02-26,0.234,0.0080,2,0.02500,0,0,0
LOT-057,SUP-02,2025-02-27,0.496,0.0235,0,0.00000,0,0,0
LOT-058,SUP-03,2025-02-28,2.468,0.1230,4,0.05000,1,1,1
LOT-059,SUP-04,2025-03-01,0.788,0.0097,0,0.00000,0,0,0
LOT-060,SUP-01,2025-03-02,-0.007,0.0080,4,0.05000,0,1,0
LOT-061,SUP-02,2025-03-03,0.021,0.0279,2,0.02500,0,0,0
LOT-062,SUP-03,2025-03-04,0.649,0.0210,1,0.01250,0,0,0
LOT-063,SUP-04,2025-03-05,-0.270,0.0230,0,0.00000,0,0,0
LOT-064,SUP-01,2025-03-06,1.089,0.0090,1,0.01250,0,0,0
LOT-065,SUP-02,2025-03-07,-0.197,0.0282,1,0.01250,0,0,0
LOT-066,SUP-03,2025-03-08,-0.030,0.0212,0,0.00000,0,0,0
LOT-067,SUP-04,2025-03-09,-0.290,0.0171,2,0.02500,0,0,0
LOT-068,SUP-01,2025-03-10,0.898,0.0107,0,0.00000,0,0,0
LOT-069,SUP-02,2025-03-11,0.054,0.0183,1,0.01250,0,0,0
LOT-070,SUP-03,2025-03-12,0.041,0.0129,0,0.00000,0,0,0
LOT-071,SUP-04,2025-03-13,0.191,0.0294,0,0.00000,0,0,0
LOT-072,SUP-01,2025-03-14,0.182,0.0073,1,0.01250,0,0,0
LOT-073,SUP-02,2025-03-15,-0.044,0.0202,1,0.01250,0,0,0
LOT-074,SUP-03,2025-03-16,0.949,0.0208,1,0.01250,0,0,0
LOT-075,SUP-04,2025-03-17,0.698,0.0250,0,0.00000,0,0,0
LOT-076,SUP-01,2025-03-18,0.062,0.0160,0,0.00000,0,0,0
LOT-077,SUP-02,2025-03-19,2.376,0.1370,5,0.06250,1,1,1
LOT-078,SUP-03,2025-03-20,0.698,0.0246,1,0.01250,0,0,0
LOT-079,SUP-04,2025-03-21,0.666,0.0082,0,0.00000,0,0,0
LOT-080,SUP-01,2025-03-22,0.497,0.0285,1,0.01250,0,0,0
LOT-081,SUP-02,2025-03-23,0.433,0.0181,0,0.00000,0,0,0
LOT-082,SUP-03,2025-03-24,-0.661,0.0270,2,0.02500,0,0,0
LOT-083,SUP-04,2025-03-25,0.665,0.0109,1,0.01250,0,0,0
LOT-084,SUP-01,2025-03-26,0.955,0.0139,1,0.01250,0,0,0
LOT-085,SUP-02,2025-03-27,0.676,0.0079,2,0.02500,0,0,0
LOT-086,SUP-03,2025-03-28,0.109,0.0224,0,0.00000,0,0,0
LOT-087,SUP-04,2025-03-29,0.781,0.0142,1,0.01250,0,0,0
LOT-088,SUP-01,2025-03-30,0.566,0.0073,0,0.00000,0,0,0
LOT-089,SUP-02,2025-03-31,-0.784,0.0227,0,0.00000,0,0,0
LOT-090,SUP-03,2025-04-01,-0.420,0.0053,1,0.01250,0,0,0
LOT-091,SUP-04,2025-04-02,2.486,0.1198,9,0.11250,1,1,1
LOT-092,SUP-01,2025-04-03,1.044,0.0186,1,0.01250,0,0,0
LOT-093,SUP-02,2025-04-04,0.628,0.0226,0,0.00000,0,0,0
LOT-094,SUP-03,2025-04-05,-0.748,0.0189,0,0.00000,0,0,0
LOT-095,SUP-04,2025-04-06,-0.584,0.0152,2,0.02500,0,0,0
LOT-096,SUP-01,2025-04-07,-0.571,0.0170,1,0.01250,0,0,0
LOT-097,SUP-02,2025-04-08,0.681,0.0180,0,0.00000,0,0,0
LOT-098,SUP-03,2025-04-09,-0.535,0.0282,2,0.02500,0,0,0
LOT-099,SUP-04,2025-04-10,0.625,0.0114,0,0.00000,0,0,0
LOT-100,SUP-01,2025-04-11,0.902,0.0167,0,0.00000,0,0,0
LOT-101,SUP-02,2025-04-12,0.215,0.0127,0,0.00000,0,0,0
LOT-102,SUP-03,2025-04-13,-0.304,0.0285,0,0.00000,0,0,0
LOT-103,SUP-04,2025-04-14,3.541,0.0863,6,0.07500,1,1,1
LOT-104,SUP-01,2025-04-15,1.101,0.0278,0,0.00000,0,0,0
LOT-105,SUP-02,2025-04-16,0.682,0.0066,0,0.00000,0,0,0
LOT-106,SUP-03,2025-04-17,-0.511,0.0129,1,0.01250,0,0,0
LOT-107,SUP-04,2025-04-18,0.456,0.0077,0,0.00000,0,0,0
LOT-108,SUP-01,2025-04-19,0.127,0.0289,2,0.02500,0,0,0
LOT-109,SUP-02,2025-04-20,1.148,0.0108,2,0.02500,0,0,0
LOT-110,SUP-03,2025-04-21,0.735,0.0224,0,0.00000,0,0,0
LOT-111,SUP-04,2025-04-22,-0.407,0.0247,1,0.01250,0,0,0
LOT-112,SUP-01,2025-04-23,1.110,0.0153,0,0.00000,0,0,0
LOT-113,SUP-02,2025-04-24,0.697,0.0200,0,0.00000,0,0,0
LOT-114,SUP-03,2025-04-25,0.027,0.0222,0,0.00000,0,0,0
LOT-115,SUP-04,2025-04-26,0.654,0.0294,1,0.01250,0,0,0
LOT-116,SUP-01,2025-04-27,3.210,0.1130,10,0.12500,1,1,1
LOT-117,SUP-02,2025-04-28,-0.051,0.0173,1,0.01250,0,0,0
LOT-118,SUP-03,2025-04-29,0.020,0.0289,2,0.02500,0,0,0
LOT-119,SUP-04,2025-04-30,0.353,0.0084,1,0.01250,0,0,0
LOT-120,SUP-01,2025-05-01,0.599,0.0120,2,0.02500,0,0,0
